検索実行日,モール名,対象商品名,ページURL,口コミ投稿日,星の数,口コミタイトル,口コミ全文
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/17,4,70代以上,手元止水栓は、節水に、モードの切り替えに便利です 又スキンケアに効果があるかは、まだ使用し始めて間もなくよくわかりませんが、浴室の鏡の白色の水垢が取れて何か効果を期待させてくれています 注文日:2026/03/05
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/17,5,ずっと気になっていましたが、水圧が気になって保留にしていました。,思い切って買ってみましたが、元の水圧が強めだったからか、思ったより水圧の弱さは気にならなかったです。 ジェットモードは頭皮にはもちろん掃除にもいいですし、何よりミストモードがとても気持ちいいです! 注文日:2026/03/10
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/17,5,旧タイプが壊れたので購入。,水圧は若干弱くなっている気がするが、総合的な満足度は特に変わりがない。 注文日:2026/03/10
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/17,5,良い買い物しました,皮脂汚れの落ち具合が全く違いました。 風呂掃除もかなり楽になりました。 決して安価ではない買い物でしたが大満足です。 家族へ|実用品・普段使い|はじめて 注文日:2026/03/10
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/18,5,カラー:ホワイト | 延長保証:延長保証無 | <ラッピング>:ラッピング,使用してから半年が経ちましたが、 ミストも細かくとても気に入ってます。 注文日:2025/09/20
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/18,4,家で使っているのが止水タイプだったので止水タイプを購入しました。付け替えも簡単にでき、ミストは子供にも好評です。,効果はこれからなので分かりませんが、満足です 注文日:2026/03/10
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/18,5,素敵な梱包でした!,届いた途端に可愛い梱包でめちゃくちゃテンション上がりました!新居で使う予定です! とても楽しみになりました。 注文日:2026/03/10
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/19,4,家族へ|実用品・普段使い|はじめて,4種類のシャワーモードを楽しむことができ満足しています。今まで使っていたシャワーヘッドがオーソドックスなタイプだったため、水圧が落ち感じがするので、欲を言えば強めの水圧シャワーが出たらいいなと思う。 注文日:2026/03/09
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/20,5,ずっと欲しいと思ってて、やっと買いました。ミストがいい!洗顔する時毛穴まで汚れが綺麗に落ちてる感じがします。肌が綺麗になる期待を込めます。,注文日:2026/02/25
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/20,5,水栓金具変える必要があるけど良かったです。,注文日:2026/03/14
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/20,5,注文日:2026/03/10,妻の誕生日プレゼントとして購入しました。家族みんなで使っていますが、水流の当たり方に変化があってマッサージ効果があると感じています。続いてホースも購入したいと思います。
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/22,5,ファインバブルSを使っており、新しく買い替えました。前回のものよりシャワーの水当たりが優しくなっており、使い心地も満足です。,水流の切り替えも以前よりスムーズです。 注文日:2026/03/05
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/23,5,すぐとどきました!以前使用していたシャワーヘッドが水漏れして壊れたので購入。使いやすいですし、とてもいいです!,注文日:2026/03/18
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/23,4,ずっとほしかったシャワーヘッド!,水圧が弱かった笑 自分用|実用品・普段使い|はじめて 注文日:2026/03/07
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/24,5,毎日のお風呂タイムで癒されて,ピンクのシャワーヘッド?可愛くて癒されます。毎日のお風呂タイムがサロンタイムになりそうです? 注文日:2026/03/18
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/24,5,納得の使い心地でした,取り付けも簡単で使い心地も申し分ないです あとは水道料金の節約につながることを祈るばかりでます 家族へ|実用品・普段使い|はじめて 注文日:2026/03/18
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/25,5,とにかくミストが気持ちよい,マリオットグループのホテルに宿泊した際、自宅と同じシャンプー類を持参したにも関わらずシャワー後の髪がいつもよりしっとりツヤツヤしていたので、シャワーヘッドを確認したらReFaでした。 そこで「ReFaすごい!」と思い、ホテルのは最上級グレードの大きなヘッドでしたが、自宅用には大き過ぎるのでこちらの商品を購入しました。 個人的な感想ですが、やはりホテルの程は効果は無いように思いましたが、肌も髪も以前より良くなった気がします。何よりミストが心地よいです。 やはりミストモードにすると水温は下がりますが、ヘッドを身体に近づければそこそこ温かく、ずっとは厳しいけど洗顔などの短時間なら真冬でも使えました。 節水に関しては、わが家の給湯器がポンコツであまりに節水仕様のシャワーヘッドだと給湯器が反応しなくて水になってしまうのですが、このシャワーヘッドはどのモードでも給湯器が反応します。逆に言うと節水効果はそこまででは無いのかもしれませんが....。 水圧や水量に関しては、人によって好みが分かれると思うのですが、あまり強いのは好きではない私はピュアストレートモードが好きで、たっぷり浴びたい旦那はストレートモードを気に入っています。 シルキーバスに関しては、商品説明のような真っ白なシルキーバスができました。が、2分もしないうちに透明に戻ってしまいました。 それなりに値段は張りますが、買ってよかったと思える商品です。 注文日:2026/02/22
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/25,5,気にはなっていたものの、お値段が張るので悩んでいました。,ペットサロンで使用しており、トリミング後の愛犬の手触りが全然違ったので思い切って購入です。 洗いあがりが通常のシャワーヘッドの時と違い、キシキシしないような気がします! 家族へ|実用品・普段使い|はじめて 注文日:2026/03/05
2026/03/30,楽天,ReFa FINE BUBBLE U+,https://review.rakuten.co.jp/item/1/262320_10002177?sort=6&page=1#itemReviewList,2026/03/25,5,気持ちよくなりました 満足出来ていますありがとうございました,注文日:2026/03/09
